"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH",0.106666666666667,0.0236666666666667,0.0456666666666667,0.185666666666667,0.0426666666666667,0.0313333333333333
"SURFTEMP",0.00566666666666667,0.00366666666666667,0.00833333333333333,0.0413333333333333,0.0163333333333333,0
"BOTTEMP",0.0183333333333333,0.009,0.0166666666666667,0.051,0.0526666666666667,0.00366666666666667
"volume_100m3",0,0.002,0.002,0.02,0.004,0
"ctyp_100m3",0.288,0.0283333333333333,0.0103333333333333,0.048,0.0306666666666667,0.106333333333333
"calfin_100m3",0.046,0.00466666666666667,0.002,0.04,0.00466666666666667,0.00233333333333333
"pseudo_100m3",0.00966666666666667,0.00333333333333333,0.009,0.033,0.0203333333333333,0.000666666666666667
"tlong_100m3",0,0.00366666666666667,0.00733333333333333,0.0183333333333333,0.0103333333333333,0
"cham_100m3",0.00233333333333333,0.001,0,0.0173333333333333,0.00133333333333333,0
"larvaceans_100m3",0.00633333333333333,0.004,0.00266666666666667,0.0386666666666667,0.00333333333333333,0
"para_100m3",0.0173333333333333,0.00766666666666667,0,0.0223333333333333,0.0123333333333333,0.011
"gas_100m3",0.00133333333333333,0.002,0,0.0103333333333333,0.00366666666666667,0
"mlucens_100m3",0.002,0.001,0,0.0166666666666667,0.001,0
"oithspp_100m3",0.00533333333333333,0.002,0.00533333333333333,0.0183333333333333,0.004,0
"chaeto_100m3",0,0.002,0.00666666666666667,0.0253333333333333,0.00666666666666667,0
"grnszmm",0.197666666666667,0.0513333333333333,0.151666666666667,0.0753333333333333,0.0446666666666667,0.0743333333333333
"mud_pct",0.012,0.00733333333333333,0,0.0583333333333333,0.0103333333333333,0.00133333333333333
"sand_pct",0.00533333333333333,0.00766666666666667,0.0413333333333333,0.0446666666666667,0.013,0.000333333333333333
"rug",0.007,0.00566666666666667,0.0113333333333333,0.0166666666666667,0.0116666666666667,0.00133333333333333
"chl1",0.0306666666666667,0.029,0.0196666666666667,0.14,0.021,0.008
"chl2",0.078,0.021,0.316333333333333,0.216333333333333,0.297333333333333,0.014
"chl3",0.0153333333333333,0.00766666666666667,0,0.0433333333333333,0.0276666666666667,0.00133333333333333
"chl4",0.00266666666666667,0.0123333333333333,0.075,0.0696666666666667,0.0366666666666667,0.00366666666666667
"chl5",0.0143333333333333,0.004,0.019,0.0823333333333333,0.00466666666666667,0
"chl6",0.014,0.009,0.044,0.111,0.1,0.00133333333333333
"chl7",0.0243333333333333,0.00933333333333333,0,0.075,0.0366666666666667,0.001
"chl8",0.115333333333333,0.0146666666666667,0,0.065,0.068,0.0216666666666667
"chl9",0.270333333333333,0.0223333333333333,0.0213333333333333,0.212666666666667,0.0563333333333333,0.0733333333333333
"chl10",0.0756666666666667,0.024,0.204666666666667,0.103666666666667,0.195,0.023
"chl11",0,0.00433333333333333,0.00233333333333333,0.191333333333333,0.019,0
"chl12",0.00266666666666667,0.0116666666666667,0.0946666666666667,0.099,0.0393333333333333,0.000666666666666667
