"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH","0.098000","0.047000","0.106333","0.204667","0.048667","0.052667"
"SURFTEMP","0.638667","0.119000","0.116333","0.135000","0.374000","0.443667"
"BOTTEMP","0.020333","0.047333","0.111000","0.198000","0.183000","0.053667"
"volume_100m3","0.000000","0.004000","0.000000","0.019000","0.007667","0.000000"
"ctyp_100m3","0.000000","0.004000","0.000000","0.032000","0.003333","0.000000"
"calfin_100m3","0.000000","0.005333","0.000000","0.014333","0.005000","0.000000"
"pseudo_100m3","0.000000","0.013333","0.037000","0.063333","0.014333","0.000667"
"tlong_100m3","0.000000","0.001667","0.000000","0.027667","0.004000","0.000000"
"cham_100m3","0.000000","0.003000","0.009333","0.038667","0.008000","0.000000"
"larvaceans_100m3","0.000000","0.008667","0.000000","0.047333","0.013667","0.000667"
"para_100m3","0.000000","0.003333","0.000000","0.036667","0.009333","0.000000"
"gas_100m3","0.000000","0.001333","0.000000","0.024667","0.006000","0.000000"
"mlucens_100m3","0.000000","0.006000","0.001333","0.056333","0.000333","0.000000"
"oithspp_100m3","0.011000","0.003000","0.000000","0.021000","0.001333","0.000000"
"chaeto_100m3","0.000000","0.009333","0.006333","0.033000","0.014667","0.001000"
"grnszmm","0.153000","0.105000","0.179333","0.192000","0.118333","0.113667"
"sand_pct","0.186333","0.030667","0.062667","0.067667","0.052333","0.021000"
"rug","0.003000","0.006333","0.010000","0.003667","0.001667","0.000000"
"chl2","0.062333","0.016000","0.053000","0.177333","0.089000","0.006667"
"chl10","0.006000","0.007000","0.013000","0.097333","0.033333","0.000667"
"chl4","0.062333","0.028333","0.063000","0.104333","0.056333","0.014333"
