"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH","0.073667","0.024333","0.057000","0.236000","0.049667","0.024333"
"SURFTEMP","0.011333","0.006333","0.007667","0.041667","0.007333","0.000000"
"BOTTEMP","0.005333","0.030333","0.047333","0.098333","0.066333","0.014667"
"volume_100m3","0.002000","0.004667","0.003667","0.012667","0.006333","0.000000"
"ctyp_100m3","0.360333","0.033667","0.004000","0.043333","0.001000","0.067667"
"calfin_100m3","0.035667","0.008667","0.001333","0.054667","0.002333","0.001333"
"pseudo_100m3","0.024333","0.007333","0.004667","0.042333","0.026667","0.001000"
"tlong_100m3","0.006000","0.008667","0.014333","0.049667","0.017667","0.001333"
"cham_100m3","0.004333","0.002333","0.000000","0.071000","0.007333","0.000333"
"larvaceans_100m3","0.000000","0.004667","0.000000","0.054000","0.000000","0.000000"
"para_100m3","0.013667","0.021333","0.001667","0.051667","0.025667","0.033000"
"gas_100m3","0.000000","0.008333","0.002333","0.044667","0.008000","0.000000"
"mlucens_100m3","0.000000","0.003000","0.002000","0.037000","0.007333","0.000000"
"oithspp_100m3","0.002000","0.005333","0.012333","0.039333","0.007333","0.000000"
"chaeto_100m3","0.000000","0.003333","0.000000","0.032333","0.001000","0.000000"
"grnszmm","0.178667","0.107333","0.207667","0.158333","0.086333","0.100667"
"sand_pct","0.032333","0.018000","0.050333","0.011667","0.017333","0.002667"
"rug","0.002667","0.010667","0.022667","0.010000","0.011000","0.001000"
"chl2","0.107000","0.051000","0.157667","0.283667","0.150333","0.059000"
"chl10","0.429333","0.080000","0.204333","0.320667","0.316000","0.245667"
"chl4","0.013667","0.029667","0.095667","0.090000","0.035000","0.009667"
