"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH",0.0626666666666667,0.0216666666666667,0.0773333333333333,0.274333333333333,0.061,0.014
"SURFTEMP",0.116666666666667,0.031,0.0346666666666667,0.173666666666667,0.238,0.083
"BOTTEMP",0.072,0.0136666666666667,0.012,0.115333333333333,0.16,0.003
"volume_100m3",0.00166666666666667,0.00166666666666667,0,0.006,0.021,0
"ctyp_100m3",0.00433333333333333,0.001,0,0.02,0.002,0
"calfin_100m3",0.00133333333333333,0.002,0.001,0.0213333333333333,0.006,0
"pseudo_100m3",0.00133333333333333,0.001,0.00433333333333333,0.0326666666666667,0.004,0
"tlong_100m3",0.007,0.001,0,0.025,0.009,0
"cham_100m3",0.00366666666666667,0.001,0.004,0.0383333333333333,0.00433333333333333,0
"larvaceans_100m3",0.004,0.00266666666666667,0,0.0276666666666667,0.00133333333333333,0
"para_100m3",0.00466666666666667,0.00166666666666667,0.00566666666666667,0.0316666666666667,0.0113333333333333,0
"gas_100m3",0.00366666666666667,0.001,0.001,0.0223333333333333,0.008,0
"mlucens_100m3",0.002,0.00166666666666667,0.000666666666666667,0.0243333333333333,0.00366666666666667,0
"oithspp_100m3",0.000666666666666667,0.001,0,0.0146666666666667,0.007,0
"chaeto_100m3",0.0213333333333333,0.00233333333333333,0.00366666666666667,0.031,0.008,0.000666666666666667
"grnszmm",0.0756666666666667,0.0303333333333333,0.0636666666666667,0.0466666666666667,0.029,0.00833333333333333
"mud_pct",0.0136666666666667,0.0103333333333333,0.0486666666666667,0.0243333333333333,0.00633333333333333,0.001
"sand_pct",0.157666666666667,0.0296666666666667,0.106333333333333,0.00666666666666667,0.0433333333333333,0.031
"rug",0.016,0.00333333333333333,0.003,0.00366666666666667,0.005,0
"chl1",0.445666666666667,0.0356666666666667,0.06,0.105666666666667,0.237666666666667,0.109666666666667
"chl2",0.115666666666667,0.0343333333333333,0,0.036,0.123666666666667,0.0126666666666667
"chl3",0.039,0.0176666666666667,0.026,0.059,0.00166666666666667,0.000666666666666667
"chl4",0.031,0.00733333333333333,0.0353333333333333,0.173333333333333,0.0323333333333333,0.002
"chl5",0.0203333333333333,0.00466666666666667,0.0226666666666667,0.108,0.0363333333333333,0
"chl6",0.00466666666666667,0.004,0.00433333333333333,0.0893333333333333,0.117333333333333,0
"chl7",0.0273333333333333,0.004,0.066,0.218333333333333,0.188666666666667,0
"chl8",0.048,0.00866666666666667,0.00733333333333333,0.0693333333333333,0.170333333333333,0.00533333333333333
"chl9",0.208,0.0106666666666667,0.0643333333333333,0.213333333333333,0.143333333333333,0.0863333333333333
"chl10",0.0303333333333333,0.007,0.0503333333333333,0.0606666666666667,0.120333333333333,0.00233333333333333
"chl11",0.00666666666666667,0.00433333333333333,0.018,0.0416666666666667,0.031,0
"chl12",0.00833333333333333,0.00966666666666667,0,0.0773333333333333,0.125,0.000333333333333333
