"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH",0.078,0.029,0.135666666666667,0.216666666666667,0.126,0.0386666666666667
"SURFTEMP",0.0816666666666667,0.012,0.0486666666666667,0.0686666666666667,0.0406666666666667,0.014
"BOTTEMP",0.0233333333333333,0.004,0.00633333333333333,0.0226666666666667,0.00733333333333333,0
"volume_100m3",0.00966666666666667,0.00233333333333333,0.00633333333333333,0.015,0.00366666666666667,0.000666666666666667
"ctyp_100m3",0.00966666666666667,0.0116666666666667,0.00466666666666667,0.034,0.0316666666666667,0.00533333333333333
"calfin_100m3",0.0153333333333333,0.004,0.00366666666666667,0.0123333333333333,0.001,0.004
"pseudo_100m3",0.00633333333333333,0.00366666666666667,0.00333333333333333,0.01,0.00833333333333333,0.00133333333333333
"tlong_100m3",0,0.001,0,0.0206666666666667,0.00366666666666667,0
"cham_100m3",0.00166666666666667,0.001,0.0126666666666667,0.02,0.0113333333333333,0
"larvaceans_100m3",0.00533333333333333,0.001,0.00233333333333333,0.0106666666666667,0.00333333333333333,0
"para_100m3",0,0.00266666666666667,0,0.011,0.00433333333333333,0.00166666666666667
"gas_100m3",0.0126666666666667,0.00166666666666667,0.004,0.00466666666666667,0.007,0
"mlucens_100m3",0.0546666666666667,0.003,0.00133333333333333,0.0323333333333333,0.00466666666666667,0.000666666666666667
"oithspp_100m3",0.00366666666666667,0.002,0.00566666666666667,0.0116666666666667,0.00333333333333333,0
"chaeto_100m3",0.00366666666666667,0.00233333333333333,0.00566666666666667,0.0163333333333333,0.005,0
"grnszmm",0.117666666666667,0.0306666666666667,0.111333333333333,0.0346666666666667,0.029,0.0216666666666667
"mud_pct",0.057,0.0146666666666667,0.03,0.0563333333333333,0.00833333333333333,0.00733333333333333
"sand_pct",0.025,0.006,0.164666666666667,0.005,0.042,0.000666666666666667
"rug",0.00866666666666667,0.003,0,0.00566666666666667,0.00566666666666667,0
"chl1",0.352,0.0403333333333333,0.0183333333333333,0.0703333333333333,0.0406666666666667,0.0673333333333333
"chl2",0.265666666666667,0.0423333333333333,0.111333333333333,0.256333333333333,0.249666666666667,0.08
"chl3",0.00866666666666667,0.0153333333333333,0.0476666666666667,0.0313333333333333,0.0263333333333333,0
"chl4",0.0423333333333333,0.00833333333333333,0.0646666666666667,0.0813333333333333,0.0413333333333333,0.001
"chl5",0.0386666666666667,0.005,0.0363333333333333,0.0403333333333333,0.0273333333333333,0
"chl6",0.0583333333333333,0.0113333333333333,0.0753333333333333,0.0656666666666667,0.068,0.00133333333333333
"chl7",0.023,0.00766666666666667,0.0156666666666667,0.110333333333333,0.141,0
"chl8",0.101333333333333,0.01,0.064,0.0586666666666667,0.118333333333333,0.00166666666666667
"chl9",0.324666666666667,0.033,0.312666666666667,0.254333333333333,0.156666666666667,0.213333333333333
"chl10",0.0446666666666667,0.0206666666666667,0.00566666666666667,0.209,0.0766666666666667,0.011
"chl11",0.029,0.00466666666666667,0.0156666666666667,0.036,0.04,0
"chl12",0.015,0.00633333333333333,0.00666666666666667,0.049,0.0236666666666667,0
