"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH","0.057667","0.032333","0.087667","0.257000","0.112333","0.019000"
"SURFTEMP","0.436000","0.071333","0.051333","0.181000","0.270333","0.312000"
"BOTTEMP","0.057667","0.034000","0.037667","0.145333","0.191000","0.036000"
"volume_100m3","0.001667","0.004000","0.000000","0.010667","0.008333","0.000000"
"ctyp_100m3","0.011333","0.002667","0.000000","0.014000","0.002333","0.000000"
"calfin_100m3","0.000000","0.004333","0.001333","0.021333","0.005667","0.000000"
"pseudo_100m3","0.006333","0.003000","0.005667","0.016667","0.006000","0.000000"
"tlong_100m3","0.000000","0.002667","0.000000","0.014333","0.006000","0.000333"
"cham_100m3","0.011667","0.006667","0.015000","0.037000","0.005333","0.000000"
"larvaceans_100m3","0.010000","0.010000","0.000000","0.034333","0.010333","0.001000"
"para_100m3","0.007333","0.004667","0.003000","0.042667","0.014333","0.000000"
"gas_100m3","0.002000","0.002000","0.000000","0.016000","0.007667","0.000000"
"mlucens_100m3","0.017000","0.004333","0.004667","0.049000","0.008333","0.000333"
"oithspp_100m3","0.007333","0.001333","0.000000","0.015333","0.006333","0.000000"
"chaeto_100m3","0.030667","0.004667","0.000000","0.021667","0.011333","0.001333"
"grnszmm","0.115667","0.060333","0.162000","0.094333","0.065000","0.029000"
"sand_pct","0.190000","0.041333","0.086000","0.028667","0.076333","0.019000"
"rug","0.006333","0.004667","0.000000","0.002667","0.003667","0.000000"
"chl2","0.309000","0.098333","0.100333","0.272667","0.150000","0.143333"
"chl10","0.010000","0.017000","0.027667","0.098667","0.057667","0.008667"
"chl4","0.034000","0.009000","0.010667","0.056667","0.037667","0.002667"
