"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH","0.024667","0.048333","0.158000","0.235667","0.212333","0.046667"
"SURFTEMP","0.030000","0.012667","0.057333","0.061667","0.031333","0.006667"
"BOTTEMP","0.007667","0.008333","0.025667","0.056000","0.008667","0.000000"
"volume_100m3","0.007333","0.007000","0.007667","0.016000","0.012667","0.000333"
"ctyp_100m3","0.193333","0.033333","0.006333","0.064333","0.114333","0.045667"
"calfin_100m3","0.071000","0.016667","0.000000","0.020000","0.003000","0.015667"
"pseudo_100m3","0.028667","0.011000","0.001000","0.014667","0.012000","0.003000"
"tlong_100m3","0.000000","0.003667","0.003000","0.030667","0.010333","0.000000"
"cham_100m3","0.000000","0.002667","0.008000","0.038667","0.019667","0.000000"
"larvaceans_100m3","0.000000","0.003000","0.003333","0.024667","0.009667","0.000000"
"para_100m3","0.000000","0.005667","0.000000","0.027667","0.003333","0.000000"
"gas_100m3","0.003333","0.006000","0.006333","0.023333","0.007333","0.000000"
"mlucens_100m3","0.014667","0.006000","0.008333","0.039000","0.016333","0.002000"
"oithspp_100m3","0.000000","0.003333","0.002667","0.023667","0.002333","0.000000"
"chaeto_100m3","0.004667","0.006333","0.015000","0.017667","0.010333","0.000333"
"grnszmm","0.217667","0.122000","0.289000","0.187000","0.111333","0.122000"
"sand_pct","0.017000","0.016333","0.065667","0.044333","0.029000","0.003667"
"rug","0.000000","0.004333","0.000000","0.002667","0.001333","0.000000"
"chl2","0.358000","0.096667","0.184000","0.403667","0.138667","0.165667"
"chl10","0.337333","0.087000","0.235333","0.290333","0.229333","0.234667"
"chl4","0.018333","0.021333","0.035333","0.113333","0.065333","0.011667"
