"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH","0.518000","0.065667","0.503667","0.504667","0.475000","0.325667"
"SURFTEMP","0.144000","0.022333","0.020333","0.092667","0.026333","0.044667"
"BOTTEMP","0.030000","0.026000","0.064000","0.096333","0.073667","0.018000"
"volume_100m3","0.001333","0.002000","0.002667","0.007000","0.002000","0.000000"
"ctyp_100m3","0.002333","0.004000","0.001333","0.024000","0.006000","0.000000"
"calfin_100m3","0.028333","0.004000","0.005000","0.026000","0.007667","0.001000"
"pseudo_100m3","0.046333","0.009333","0.024000","0.045333","0.032000","0.012333"
"tlong_100m3","0.027333","0.004667","0.015667","0.034333","0.016000","0.002000"
"cham_100m3","0.001333","0.001000","0.000000","0.015667","0.000000","0.000000"
"larvaceans_100m3","0.006000","0.002000","0.004333","0.017000","0.003667","0.001000"
"para_100m3","0.000000","0.002000","0.008333","0.020333","0.006000","0.001000"
"gas_100m3","0.026667","0.003333","0.000000","0.012667","0.003000","0.000000"
"mlucens_100m3","0.001000","0.003333","0.000000","0.014000","0.002000","0.001000"
"oithspp_100m3","0.002333","0.001000","0.000000","0.012667","0.000000","0.000000"
"chaeto_100m3","0.000000","0.001000","0.006000","0.015667","0.004667","0.000000"
"grnszmm","0.145667","0.023667","0.050000","0.080000","0.054667","0.035000"
"mud_pct","0.081667","0.025667","0.000000","0.009667","0.000667","0.008000"
"sand_pct","0.019000","0.006333","0.005667","0.036333","0.006000","0.000333"
"rug","0.033000","0.004000","0.005667","0.004667","0.002333","0.000000"
"chl1","0.015667","0.013667","0.000000","0.043000","0.051333","0.000000"
"chl2","0.087000","0.030333","0.035667","0.155667","0.031333","0.002000"
"chl3","0.048000","0.024000","0.018000","0.035000","0.058667","0.014667"
"chl4","0.021000","0.002667","0.003667","0.034667","0.012333","0.000000"
"chl5","0.045333","0.004667","0.024667","0.037333","0.031667","0.000667"
"chl6","0.046000","0.015333","0.008667","0.060000","0.063333","0.006000"
"chl7","0.011000","0.013333","0.054333","0.027333","0.020333","0.001333"
"chl8","0.027000","0.004000","0.118333","0.101333","0.099333","0.000333"
"chl9","0.192333","0.011333","0.355667","0.189333","0.240667","0.022000"
"chl10","0.039667","0.007000","0.006000","0.081000","0.024667","0.001333"
"chl11","0.017667","0.004333","0.027333","0.082333","0.046333","0.000000"
"chl12","0.000000","0.008667","0.014000","0.039333","0.013667","0.000000"
