"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH",0.047,0.0126666666666667,0.06,0.166333333333333,0.0423333333333333,0.00566666666666667
"SURFTEMP",0.00766666666666667,0.00366666666666667,0.00366666666666667,0.0623333333333333,0.0113333333333333,0
"BOTTEMP",0.064,0.00666666666666667,0.0253333333333333,0.0773333333333333,0.0166666666666667,0.004
"volume_100m3",0.166666666666667,0.027,0.034,0.12,0.068,0.028
"ctyp_100m3",0.168,0.0156666666666667,0.0123333333333333,0.115333333333333,0.036,0.0506666666666667
"calfin_100m3",0.387666666666667,0.0673333333333333,0.0813333333333333,0.0763333333333333,0.0626666666666667,0.170666666666667
"pseudo_100m3",0.037,0.0136666666666667,0.012,0.066,0.0163333333333333,0.00633333333333333
"tlong_100m3",0.052,0.00666666666666667,0.0383333333333333,0.058,0.0456666666666667,0.000666666666666667
"cham_100m3",0.0213333333333333,0.009,0.00633333333333333,0.0586666666666667,0.0136666666666667,0.002
"larvaceans_100m3",0.158,0.049,0.0496666666666667,0.0813333333333333,0.0256666666666667,0.0596666666666667
"para_100m3",0.034,0.002,0.006,0.0626666666666667,0.03,0.003
"gas_100m3",0.02,0.00233333333333333,0.015,0.061,0.0296666666666667,0.000333333333333333
"mlucens_100m3",0.0136666666666667,0.002,0,0.055,0.0136666666666667,0
"oithspp_100m3",0.0293333333333333,0.007,0.024,0.07,0.0223333333333333,0.001
"chaeto_100m3",0.292333333333333,0.0473333333333333,0.066,0.0463333333333333,0.0303333333333333,0.065
"grnszmm",0.03,0.007,0.0213333333333333,0.033,0.013,0.003
"mud_pct",0.004,0.0116666666666667,0.0166666666666667,0.024,0.00466666666666667,0.009
"sand_pct",0.142333333333333,0.0146666666666667,0.12,0.0386666666666667,0.0553333333333333,0.0143333333333333
"rug",0.00633333333333333,0.00166666666666667,0,0.003,0.00833333333333333,0
"chl1",0.003,0.018,0.0433333333333333,0.0836666666666667,0.02,0.012
"chl2",0.0356666666666667,0.005,0,0.0593333333333333,0.024,0
"chl3",0.018,0.003,0.0123333333333333,0.0556666666666667,0.0306666666666667,0
"chl4",0.006,0.003,0.0496666666666667,0.0763333333333333,0.0216666666666667,0.000333333333333333
"chl5",0.033,0.006,0.0333333333333333,0.0966666666666667,0.0526666666666667,0.00933333333333333
"chl6",0.0213333333333333,0.004,0.0373333333333333,0.0626666666666667,0.0503333333333333,0.001
"chl7",0.00533333333333333,0.001,0.114666666666667,0.354,0.136333333333333,0
"chl8",0.00733333333333333,0.00266666666666667,0.174,0.3,0.160333333333333,0.000333333333333333
"chl9",0,0.002,0,0.111333333333333,0.105333333333333,0
"chl10",0.017,0.00633333333333333,0.0176666666666667,0.0913333333333333,0.124,0.00133333333333333
"chl11",0.009,0.001,0,0.074,0.033,0
"chl12",0.0343333333333333,0.00633333333333333,0,0.11,0.077,0
