"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH","0.026667","0.013000","0.067000","0.184333","0.051333","0.003000"
"SURFTEMP","0.045667","0.005000","0.002667","0.045333","0.020667","0.000333"
"BOTTEMP","0.065667","0.009667","0.072333","0.118333","0.083667","0.010333"
"volume_100m3","0.123000","0.037000","0.066667","0.132333","0.089000","0.023333"
"ctyp_100m3","0.223333","0.034333","0.076333","0.273000","0.159333","0.092000"
"calfin_100m3","0.485667","0.101667","0.100000","0.125667","0.112000","0.216667"
"pseudo_100m3","0.095000","0.022667","0.009667","0.099000","0.034000","0.015667"
"tlong_100m3","0.046333","0.007333","0.037000","0.055000","0.079333","0.002333"
"cham_100m3","0.063667","0.013000","0.022333","0.061667","0.024000","0.002667"
"larvaceans_100m3","0.235000","0.055000","0.027000","0.048333","0.023333","0.033000"
"para_100m3","0.008667","0.003667","0.010333","0.042000","0.032667","0.000333"
"gas_100m3","0.044000","0.004000","0.003333","0.048000","0.017667","0.000667"
"mlucens_100m3","0.068667","0.004000","0.005000","0.051667","0.003667","0.000000"
"oithspp_100m3","0.063667","0.009000","0.031000","0.089667","0.025333","0.003000"
"chaeto_100m3","0.301333","0.048667","0.059333","0.066000","0.047000","0.051667"
"grnszmm","0.067000","0.016000","0.020333","0.014667","0.009333","0.016333"
"sand_pct","0.038000","0.014333","0.091667","0.071000","0.035000","0.010000"
"rug","0.010000","0.002667","0.000000","0.008000","0.016000","0.000000"
"chl2","0.065000","0.018000","0.009667","0.092667","0.036333","0.008333"
"chl10","0.044333","0.007667","0.125333","0.166333","0.095667","0.002333"
"chl4","0.037667","0.005333","0.031333","0.069333","0.019000","0.003000"
