"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH","0.236000","0.111000","0.440333","0.386667","0.349667","0.230667"
"SURFTEMP","0.532000","0.153000","0.165667","0.362667","0.278000","0.502333"
"BOTTEMP","0.246000","0.057667","0.054667","0.159333","0.187333","0.064000"
"volume_100m3","0.000000","0.003667","0.002000","0.043000","0.025667","0.000667"
"ctyp_100m3","0.000000","0.003667","0.003333","0.062667","0.012333","0.000000"
"calfin_100m3","0.000000","0.006667","0.000000","0.094667","0.030667","0.003000"
"pseudo_100m3","0.000000","0.025000","0.016000","0.059667","0.012667","0.001000"
"tlong_100m3","0.000000","0.003333","0.001000","0.059333","0.005333","0.000000"
"cham_100m3","0.000000","0.003000","0.007000","0.060333","0.014000","0.000000"
"larvaceans_100m3","0.000000","0.004667","0.000000","0.054667","0.050000","0.000000"
"para_100m3","0.000000","0.005000","0.001333","0.040000","0.027333","0.000000"
"gas_100m3","0.000000","0.002333","0.000000","0.041667","0.015333","0.000000"
"mlucens_100m3","0.000000","0.006667","0.001667","0.057000","0.017333","0.000333"
"oithspp_100m3","0.000000","0.003667","0.000000","0.062000","0.002000","0.000000"
"chaeto_100m3","0.000000","0.007333","0.000000","0.039333","0.012667","0.000000"
"grnszmm","0.127333","0.116000","0.180667","0.236333","0.088333","0.092667"
"sand_pct","0.071000","0.026000","0.035667","0.064000","0.075667","0.024333"
"rug","0.000000","0.010667","0.068000","0.008000","0.024667","0.002000"
"chl2","0.019667","0.017333","0.072667","0.129333","0.092667","0.002000"
"chl10","0.044000","0.014000","0.004000","0.139667","0.078333","0.001000"
"chl4","0.000000","0.013333","0.028000","0.044333","0.015000","0.003000"
