"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH","0.202333","0.061000","0.257333","0.362333","0.190667","0.084667"
"SURFTEMP","0.000000","0.010333","0.022333","0.057000","0.021000","0.000667"
"BOTTEMP","0.201333","0.042667","0.039333","0.125667","0.062333","0.050000"
"volume_100m3","0.000000","0.005000","0.000000","0.025000","0.006000","0.000000"
"ctyp_100m3","0.309667","0.041667","0.012333","0.108333","0.081000","0.114667"
"calfin_100m3","0.021000","0.008667","0.000000","0.014667","0.022000","0.001667"
"pseudo_100m3","0.003667","0.007667","0.002000","0.056333","0.029667","0.001000"
"tlong_100m3","0.022667","0.005000","0.002667","0.035667","0.033667","0.000333"
"cham_100m3","0.041667","0.012333","0.013333","0.085667","0.013333","0.007333"
"larvaceans_100m3","0.021000","0.005333","0.002000","0.063667","0.017000","0.000000"
"para_100m3","0.049333","0.012000","0.001333","0.071000","0.034000","0.017000"
"gas_100m3","0.010000","0.002667","0.000000","0.051333","0.004000","0.000000"
"mlucens_100m3","0.010667","0.003667","0.000000","0.060000","0.004667","0.000000"
"oithspp_100m3","0.001667","0.004667","0.000000","0.033667","0.003667","0.000000"
"chaeto_100m3","0.000000","0.008333","0.015333","0.067667","0.019667","0.001000"
"grnszmm","0.218667","0.121000","0.206000","0.179667","0.093667","0.116000"
"sand_pct","0.016000","0.022667","0.054667","0.015000","0.060667","0.004667"
"rug","0.020667","0.012333","0.027667","0.005333","0.013667","0.002000"
"chl2","0.035333","0.018000","0.119333","0.080667","0.033333","0.007333"
"chl10","0.045667","0.033333","0.033333","0.158000","0.158333","0.058667"
"chl4","0.174333","0.081000","0.094333","0.102333","0.055333","0.026333"
