"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH",0.116666666666667,0.045,0.142333333333333,0.363333333333333,0.123666666666667,0.0553333333333333
"SURFTEMP",0.032,0.0266666666666667,0.0183333333333333,0.0853333333333333,0.0373333333333333,0.019
"BOTTEMP",0.128333333333333,0.0136666666666667,0.024,0.194666666666667,0.139333333333333,0.004
"volume_100m3",0.00266666666666667,0.00466666666666667,0.00433333333333333,0.016,0.0156666666666667,0.00333333333333333
"ctyp_100m3",0.0106666666666667,0.002,0,0.0336666666666667,0.0106666666666667,0
"calfin_100m3",0.00833333333333333,0.004,0.00166666666666667,0.0353333333333333,0.00433333333333333,0.000333333333333333
"pseudo_100m3",0.0246666666666667,0.00266666666666667,0.0123333333333333,0.0383333333333333,0.016,0.00166666666666667
"tlong_100m3",0.00633333333333333,0.001,0,0.0186666666666667,0.000666666666666667,0
"cham_100m3",0.0376666666666667,0.003,0.0246666666666667,0.0516666666666667,0.0273333333333333,0.00266666666666667
"larvaceans_100m3",0.01,0.002,0,0.0296666666666667,0.004,0
"para_100m3",0.00166666666666667,0.00433333333333333,0.0203333333333333,0.024,0.0243333333333333,0
"gas_100m3",0.019,0.00166666666666667,0,0.0333333333333333,0.00333333333333333,0
"mlucens_100m3",0.0526666666666667,0.00466666666666667,0.00233333333333333,0.0626666666666667,0.00433333333333333,0.000333333333333333
"oithspp_100m3",0.0306666666666667,0.00733333333333333,0.016,0.042,0.0236666666666667,0.0173333333333333
"chaeto_100m3",0.087,0.00966666666666667,0.0146666666666667,0.053,0.014,0.00833333333333333
"grnszmm",0.161,0.039,0.0616666666666667,0.0843333333333333,0.024,0.043
"mud_pct",0.0813333333333333,0.0246666666666667,0.0223333333333333,0.00666666666666667,0.021,0.0153333333333333
"sand_pct",0.0116666666666667,0.006,0.0666666666666667,0.00866666666666667,0.029,0
"rug",0.0323333333333333,0.00566666666666667,0.00766666666666667,0.003,0.00333333333333333,0
"chl1",0.219666666666667,0.0276666666666667,0.121666666666667,0.229666666666667,0.392333333333333,0.0333333333333333
"chl2",0.422,0.0403333333333333,0.107333333333333,0.137333333333333,0.100666666666667,0.04
"chl3",0.0456666666666667,0.0186666666666667,0.0503333333333333,0.15,0.069,0.013
"chl4",0.0253333333333333,0.00333333333333333,0.008,0.0503333333333333,0.0266666666666667,0
"chl5",0.0483333333333333,0.00766666666666667,0,0.0326666666666667,0.0246666666666667,0
"chl6",0.051,0.0163333333333333,0,0.112333333333333,0.0916666666666667,0.005
"chl7",0.064,0.014,0.0156666666666667,0.127,0.0713333333333333,0.00766666666666667
"chl8",0.0306666666666667,0.00766666666666667,0,0.147333333333333,0.0806666666666667,0.00333333333333333
"chl9",0.275,0.0133333333333333,0.08,0.105,0.110333333333333,0.01
"chl10",0.0106666666666667,0.0133333333333333,0.014,0.232666666666667,0.220333333333333,0.0166666666666667
"chl11",0.089,0.0116666666666667,0.0313333333333333,0.0993333333333333,0.025,0.002
"chl12",0.0186666666666667,0.011,0.086,0.0683333333333333,0.112666666666667,0
