"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH",0.322666666666667,0.0613333333333333,0.215,0.310333333333333,0.220666666666667,0.109666666666667
"SURFTEMP",0.156666666666667,0.03,0.115333333333333,0.092,0.0653333333333333,0.0333333333333333
"BOTTEMP",0.0493333333333333,0.0133333333333333,0.0356666666666667,0.0473333333333333,0.043,0.00633333333333333
"volume_100m3",0.00366666666666667,0.002,0.004,0.00633333333333333,0.00366666666666667,0
"ctyp_100m3",0.028,0.00766666666666667,0.00833333333333333,0.0336666666666667,0.021,0.00266666666666667
"calfin_100m3",0.0296666666666667,0.00766666666666667,0.023,0.00833333333333333,0.0143333333333333,0.0106666666666667
"pseudo_100m3",0.0103333333333333,0.00333333333333333,0.000666666666666667,0.014,0.009,0
"tlong_100m3",0.01,0.00766666666666667,0.0226666666666667,0.0146666666666667,0.019,0.001
"cham_100m3",0.0116666666666667,0.002,0.000666666666666667,0.00533333333333333,0.00133333333333333,0
"larvaceans_100m3",0.00666666666666667,0.00333333333333333,0.006,0.018,0.00733333333333333,0.000666666666666667
"para_100m3",0,0.001,0,0.00933333333333333,0.006,0
"gas_100m3",0.00133333333333333,0.001,0.00666666666666667,0.005,0.0143333333333333,0
"mlucens_100m3",0.0136666666666667,0.00233333333333333,0.00166666666666667,0.012,0.000666666666666667,0.000333333333333333
"oithspp_100m3",0.00866666666666667,0.00333333333333333,0.01,0.014,0.00966666666666667,0.00133333333333333
"chaeto_100m3",0.00533333333333333,0.00366666666666667,0.0166666666666667,0.00933333333333333,0.00533333333333333,0.000333333333333333
"grnszmm",0.179333333333333,0.0203333333333333,0.0843333333333333,0.04,0.0163333333333333,0.0226666666666667
"mud_pct",0.092,0.0213333333333333,0.009,0.00866666666666667,0.0113333333333333,0.01
"sand_pct",0.00466666666666667,0.00533333333333333,0.0953333333333333,0.0263333333333333,0.047,0
"rug",0.00666666666666667,0.00266666666666667,0.00333333333333333,0.009,0.01,0
"chl1",0.269666666666667,0.0393333333333333,0.0106666666666667,0.0973333333333333,0.047,0.0396666666666667
"chl2",0.131666666666667,0.0393333333333333,0.109666666666667,0.218,0.171666666666667,0.061
"chl3",0.00333333333333333,0.0143333333333333,0.00533333333333333,0.0663333333333333,0.0286666666666667,0
"chl4",0.0163333333333333,0.004,0.002,0.0403333333333333,0.0123333333333333,0
"chl5",0.0413333333333333,0.007,0,0.0386666666666667,0.015,0
"chl6",0.005,0.0203333333333333,0.0446666666666667,0.091,0.06,0.00733333333333333
"chl7",0.0366666666666667,0.00766666666666667,0.0266666666666667,0.134666666666667,0.0716666666666667,0.000333333333333333
"chl8",0.00866666666666667,0.004,0.0353333333333333,0.109,0.044,0
"chl9",0.011,0.017,0.0493333333333333,0.112333333333333,0.0483333333333333,0.0163333333333333
"chl10",0.338333333333333,0.0276666666666667,0.0886666666666667,0.283666666666667,0.274666666666667,0.128333333333333
"chl11",0.0426666666666667,0.00833333333333333,0.04,0.0606666666666667,0.0423333333333333,0.003
"chl12",0.0143333333333333,0.016,0,0.074,0.0723333333333333,0.000333333333333333
