"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH","0.19300","0.06767","0.12000","0.45733","0.15267","0.08733"
"SURFTEMP","0.24767","0.05433","0.05367","0.15967","0.04900","0.07267"
"BOTTEMP","0.13667","0.03033","0.08733","0.27133","0.21033","0.04167"
"volume_100m3","0.03933","0.01800","0.01733","0.02833","0.02033","0.00867"
"ctyp_100m3","0.00700","0.00600","0.00000","0.03967","0.02000","0.00000"
"calfin_100m3","0.00800","0.01167","0.00300","0.05467","0.00933","0.00167"
"pseudo_100m3","0.06333","0.00767","0.02567","0.04867","0.01967","0.00233"
"tlong_100m3","0.00567","0.00233","0.00633","0.02533","0.00600","0.00000"
"cham_100m3","0.03200","0.00800","0.03833","0.09667","0.03933","0.00667"
"larvaceans_100m3","0.02067","0.00700","0.00000","0.05267","0.00700","0.00133"
"para_100m3","0.01133","0.01267","0.01333","0.04033","0.01233","0.00100"
"gas_100m3","0.00767","0.00533","0.00000","0.03833","0.01000","0.00000"
"mlucens_100m3","0.02300","0.00833","0.00267","0.08467","0.01100","0.00000"
"oithspp_100m3","0.06200","0.01700","0.03367","0.08233","0.04767","0.01867"
"chaeto_100m3","0.08667","0.02267","0.02667","0.12067","0.03833","0.02300"
"grnszmm","0.23867","0.07833","0.18467","0.08000","0.09000","0.09233"
"sand_pct","0.02800","0.01367","0.00967","0.02900","0.01000","0.00200"
"rug","0.02467","0.00600","0.02267","0.00267","0.01233","0.00000"
"chl2","0.27200","0.05433","0.08667","0.19533","0.12000","0.04533"
"chl10","0.19433","0.04567","0.12767","0.29200","0.14833","0.10300"
"chl4","0.01033","0.00700","0.00267","0.08800","0.01133","0.00000"
