"","CTA","RF","FDA","ANN","GAM","GBM"
"DEPTH","0.248000","0.096000","0.261000","0.325667","0.269333","0.147667"
"SURFTEMP","0.031333","0.030333","0.071667","0.079667","0.037667","0.014667"
"BOTTEMP","0.025000","0.014333","0.030000","0.064667","0.046333","0.004000"
"volume_100m3","0.002000","0.004667","0.004333","0.012000","0.011333","0.000000"
"ctyp_100m3","0.017667","0.021667","0.000000","0.098000","0.039667","0.007333"
"calfin_100m3","0.012333","0.030000","0.029667","0.029333","0.025667","0.018667"
"pseudo_100m3","0.048000","0.011667","0.000000","0.064667","0.021667","0.004667"
"tlong_100m3","0.003000","0.011667","0.032667","0.060333","0.027667","0.002667"
"cham_100m3","0.000000","0.004333","0.000000","0.072000","0.007667","0.000000"
"larvaceans_100m3","0.002000","0.009000","0.000000","0.040667","0.001333","0.000333"
"para_100m3","0.000000","0.003667","0.000000","0.028667","0.019667","0.000000"
"gas_100m3","0.000000","0.002667","0.006000","0.026667","0.017667","0.000000"
"mlucens_100m3","0.004667","0.005000","0.001000","0.029333","0.002333","0.001333"
"oithspp_100m3","0.009667","0.007667","0.019667","0.044000","0.018667","0.001333"
"chaeto_100m3","0.000000","0.009333","0.034333","0.028333","0.011333","0.000000"
"grnszmm","0.125000","0.072333","0.138333","0.073667","0.040000","0.057333"
"sand_pct","0.006667","0.010000","0.036000","0.012333","0.020333","0.000000"
"rug","0.003333","0.004000","0.000000","0.008333","0.000000","0.000000"
"chl2","0.636000","0.097000","0.166667","0.442333","0.226667","0.194000"
"chl10","0.462667","0.104667","0.226000","0.322000","0.231000","0.291333"
"chl4","0.005333","0.009667","0.002667","0.027000","0.011000","0.000000"
