,NESPP3,NAFOSPP,SVSPP,COMMON_NAME,SCIENTIFIC_NAME,SPECIES_ITIS
1,12,132,197,GOOSEFISH,LOPHIUS AMERICANUS,164499
2,81,101,73,"COD,ATLANTIC",GADUS MORHUA,164712
3,120,122,106,"FLOUNDER,WINTER",PSEUDOPLEURONECTES AMERICANUS,172905
4,122,114,107,"FLOUNDER,WITCH (GRAY SOLE)",GLYPTOCEPHALUS CYNOGLOSSUS,172873
5,123,116,105,"FLOUNDER,YELLOWTAIL",LIMANDA FERRUGINEA,172909
6,124,112,102,"FLOUNDER,PLAICE,AMERICAN (DAB)",HIPPOGLOSSOIDES PLATESSOIDES,172877
7,147,102,74,HADDOCK,MELANOGRAMMUS AEGLEFINUS,164744
8,153,186,76,"HAKE,ATLANTIC,WHITE",UROPHYCIS TENUIS,164732
9,159,120,101,"HALIBUT,ATLANTIC",HIPPOGLOSSUS HIPPOGLOSSUS,172933
10,240,103,155,"PERCH,OCEAN(REDFISH)",SEBASTES FASCIATUS,166774
11,269,106,75,"POLLOCK,ATLANTIC",POLLACHIUS VIRENS,164727
12,335,332,141,"SEA BASS,BLACK",CENTROPRISTIS STRIATA,167687
13,352,452,15,"DOGFISH,SPINY",SQUALUS ACANTHIAS,160617
