"1963 , 155 , NA , NA"
"1964 , 155 , NA , NA"
"1965 , 155 , NA , NA"
"1966 , 155 , NA , NA"
"1967 , 155 , NA , NA"
"1968 , 155 , NA , NA"
"1969 , 155 , NA , NA"
"1970 , 155 , NA , NA"
"1971 , 155 , NA , NA"
"1972 , 155 , NA , NA"
"1973 , 155 , NA , NA"
"1974 , 155 , NA , NA"
"1975 , 155 , NA , NA"
"1976 , 155 , NA , NA"
"1977 , 155 , NA , NA"
"1978 , 155 , NA , NA"
"1979 , 155 , NA , NA"
"1980 , 155 , NA , NA"
"1981 , 155 , NA , NA"
"1982 , 155 , NA , NA"
"1983 , 155 , NA , NA"
"1984 , 155 , NA , NA"
"1985 , 155 , NA , NA"
"1986 , 155 , NA , NA"
"1987 , 155 , NA , NA"
"1988 , 155 , NA , NA"
"1989 , 155 , NA , NA"
"1990 , 155 , NA , NA"
"1991 , 155 , NA , NA"
"1992 , 155 , NA , NA"
"1993 , 155 , NA , NA"
"1994 , 155 , NA , NA"
"1995 , 155 , NA , NA"
"1996 , 155 , NA , NA"
"1997 , 155 , NA , NA"
"1998 , 155 , NA , NA"
"1999 , 155 , NA , NA"
"2000 , 155 , NA , NA"
"2001 , 155 , NA , NA"
"2002 , 155 , NA , NA"
"2003 , 155 , NA , NA"
"2004 , 155 , NA , NA"
"2005 , 155 , NA , NA"
"2006 , 155 , NA , NA"
"2007 , 155 , NA , NA"
"2008 , 155 , NA , NA"
"2009 , 155 , NA , NA"
"2010 , 155 , NA , NA"
"2011 , 155 , NA , NA"
"2012 , 155 , NA , NA"
"2013 , 155 , NA , NA"
"2014 , 155 , NA , NA"
"2015 , 155 , NA , NA"
"2016 , 155 , NA , NA"
"1963 , 33 , NA , NA"
"1964 , 33 , NA , NA"
"1965 , 33 , NA , NA"
"1966 , 33 , NA , NA"
"1967 , 33 , NA , NA"
"1968 , 33 , NA , NA"
"1969 , 33 , NA , NA"
"1970 , 33 , NA , NA"
"1971 , 33 , NA , NA"
"1972 , 33 , NA , NA"
"1973 , 33 , NA , NA"
"1974 , 33 , NA , NA"
"1975 , 33 , NA , NA"
"1976 , 33 , NA , NA"
"1977 , 33 , NA , NA"
"1978 , 33 , NA , NA"
"1979 , 33 , NA , NA"
"1980 , 33 , NA , NA"
"1981 , 33 , NA , NA"
"1982 , 33 , NA , NA"
"1983 , 33 , NA , NA"
"1984 , 33 , NA , NA"
"1985 , 33 , NA , NA"
"1986 , 33 , NA , NA"
"1987 , 33 , NA , NA"
"1988 , 33 , NA , NA"
"1989 , 33 , NA , NA"
"1990 , 33 , NA , NA"
"1991 , 33 , NA , NA"
"1992 , 33 , NA , NA"
"1993 , 33 , NA , NA"
"1994 , 33 , NA , NA"
"1995 , 33 , NA , NA"
"1996 , 33 , NA , NA"
"1997 , 33 , NA , NA"
"1998 , 33 , NA , NA"
"1999 , 33 , NA , NA"
"2000 , 33 , NA , NA"
"2001 , 33 , NA , NA"
"2002 , 33 , NA , NA"
"2003 , 33 , NA , NA"
