SPNAME,SVSPP
Acadian Redfish,155
Alewife,33
American Lobster,301
American Plaice,102
American Shad,35
Atlantic Cod ,73
Atlantic Herring,32
Atlantic Mackerel,121
Barndoor Skate,22
Black Sea Bass,141
Blackbelly Rosefish,156
Blueback Herring,34
Bluefish,135
Butterfish,131
Clearnose Skate,24
Cunner,176
Cusk,84
Fourspot Flounder,104
Gulf Stream Flounder,109
Haddock,74
Little Skate,26
Longfin Squid,503
Longhorn Sculpin,163
Monkfish,197
Northern Sea Robin,171
Ocean Pout,193
Pollock,75
Red Hake,77
Rosette Skate,25
Sand Lance,181
Scup,143
Sea Raven,164
Sea Scallop,401
Shortfin Squid,502
Silver Hake,72
Smooth Dogfish,13
Smooth Skate,27
Spiny Dogfish,15
Spotted Hake,78
Striped Bass,139
Striped Sea Robin,172
Summer Flounder,103
Thorney Skate,28
Weakfish,145
White Hake,76
Windowpane Flounder,108
Winter  Flounder,106
Winter Skate,23
Witch Flounder,107
Wolffish,192
Yellowtail  Flounder,105
